"YEAR","COMP","DATE","TEMP","PRECIP","WING","BUCKET","SPECIES","COUNT","SEX","TP","DAY"
1993,"42","7/20/1993",60,"WET","A","MID","PELE","1","M",1,1
1993,"42","7/20/1993",60,"WET","B","OUT","NAIN","1","M",1,1
1993,"42","7/20/1993",60,"WET","C","MID","PELE","1","M",1,1
1993,"45","7/20/1993",60,"WET","AR","1","PELE","1","M",1,1
1993,"45","7/20/1993",60,"WET","B","OUT","PEMA","1","F",1,1
1993,"45","7/20/1993",60,"WET","C","IN","PEMA","1","F",1,1
1993,"45","7/20/1993",60,"WET","C","MID","PELE","1","M",1,1
1993,"5&6","7/20/1993",60,"WET","BR","1","MYGA","1","F",1,1
1993,"CC","7/20/1993",60,"WET","A","MID","PELE","1","U",1,1
1993,"CC","7/20/1993",60,"WET","B","OUT","NAIN","1","U",1,1
1993,"CC","7/20/1993",60,"WET","BR","2","PELE","1","M",1,1
1993,"CC","7/20/1993",60,"WET","C","IN","PELE","1","M",1,1
1993,"CC","7/20/1993",60,"WET","C","MID","PELE","1","U",1,1
1993,"42","7/21/1993",60,"WET","A","OUT","BLBR","1","M",1,2
1993,"42","7/21/1993",60,"WET","B","OUT","BLBR","1","F",1,2
1993,"42","7/21/1993",60,"WET","B","OUT","PEMA","1","F",1,2
1993,"45","7/21/1993",60,"WET","A","IN","BLBR","1","M",1,2
1993,"CC","7/21/1993",60,"WET","B","MID","PELE","1","F",1,2
1993,"42","7/22/1993",50,"WET","A","MID","MYGA","1","M",1,3
1993,"42","7/22/1993",50,"WET","A","OUT","BLBR","1","M",1,3
1993,"42","7/22/1993",50,"WET","B","IN","PELE","1","M",1,3
1993,"45","7/22/1993",50,"WET","B","MID","NAIN","1","F",1,3
1993,"45","7/22/1993",50,"WET","BR","1","MYGA","1","M",1,3
1993,"CC","7/22/1993",50,"WET","B","IN","BLBR","1","M",1,3
1993,"CC","7/22/1993",50,"WET","BR","2","PELE","1","F",1,3
1993,"CC","7/22/1993",50,"WET","C","IN","PELE","1","F",1,3
1993,"42","7/23/1993",55,"WET","B","IN","PELE","1","F",1,4
1993,"42","7/23/1993",55,"WET","BR","2","PELE","1","F",1,4
1993,"42","7/23/1993",55,"WET","BR","2","PELE","1","F",1,4
1993,"42","7/23/1993",55,"WET","C","IN","BLBR","1","F",1,4
1993,"45","7/23/1993",55,"WET","A","MID","BLBR","1","M",1,4
1993,"45","7/23/1993",55,"WET","BR","1","MYGA","1","M",1,4
1993,"45","7/23/1993",55,"WET","BR","2","PEMA","1","M",1,4
1993,"45","7/23/1993",55,"WET","CR","1","BLBR","1","M",1,4
1993,"5&6","7/23/1993",55,"WET","CR","2","PEMA","1","M",1,4
1993,"CC","7/23/1993",55,"WET","BR","2","PEMA","1","F",1,4
1993,"42","8/14/1993",51,"DRY","A","OUT","MYGA","1","M",2,11
1993,"42","8/14/1993",51,"DRY","A","OUT","PELE","1","M",2,11
1993,"42","8/14/1993",51,"DRY","AR","2","PELE","1","F",2,11
1993,"42","8/14/1993",51,"DRY","B","IN","PELE","1","F",2,11
1993,"42","8/14/1993",51,"DRY","BR","2","PELE","1","F",2,11
1993,"45","8/14/1993",51,"DRY","A","IN","PELE","1","F",2,11
1993,"45","8/14/1993",51,"DRY","A","OUT","PELE","1","M",2,11
1993,"45","8/14/1993",51,"DRY","BR","1","PELE","1","M",2,11
1993,"45","8/14/1993",51,"DRY","BR","2","PEMA","1","M",2,11
1993,"45","8/14/1993",51,"DRY","C","IN","PELE","1","M",2,11
1993,"45","8/14/1993",51,"DRY","C","MID","PEMA","1","M",2,11
1993,"5&6","8/14/1993",51,"DRY","AR","1","PELE","1","M",2,11
1993,"5&6","8/14/1993",51,"DRY","B","OUT","PELE","1","M",2,11
1993,"5&6","8/14/1993",51,"DRY","BR","1","PELE","1","M",2,11
1993,"5&6","8/14/1993",51,"DRY","BR","2","PELE","1","M",2,11
1993,"5&6","8/14/1993",51,"DRY","C","MID","PEMA","1","M",2,11
1993,"5&6","8/14/1993",51,"DRY","C","OUT","PELE","1","M",2,11
1993,"5&6","8/14/1993",51,"DRY","CR","1","PELE","1","M",2,11
1993,"5&6","8/14/1993",51,"DRY","CR","2","PELE","1","F",2,11
1993,"5&6","8/14/1993",51,"DRY","CR","2","PELE","1","M",2,11
1993,"CC","8/14/1993",51,"DRY","BR","1","PELE","1","F",2,11
1993,"CC","8/14/1993",51,"DRY","C","IN","PEMA","1","M",2,11
1993,"42","8/15/1993",53,"WET","A","IN","PEMA","1","M",2,12
1993,"42","8/15/1993",53,"WET","A","MID","BLBR","1","M",2,12
1993,"42","8/15/1993",53,"WET","A","OUT","SOCI","1","M",2,12
1993,"42","8/15/1993",53,"WET","B","IN","PELE","1","F",2,12
1993,"42","8/15/1993",53,"WET","BR","2","MYGA","1","M",2,12
1993,"42","8/15/1993",53,"WET","C","MID","BLBR","1","M",2,12
1993,"42","8/15/1993",53,"WET","C","MID","MYGA","1","M",2,12
1993,"45","8/15/1993",53,"WET","A","OUT","MYGA","1","M",2,12
1993,"45","8/15/1993",53,"WET","BR","1","PEMA","1","F",2,12
1993,"45","8/15/1993",53,"WET","BR","2","MYGA","1","M",2,12
1993,"45","8/15/1993",53,"WET","C","IN","PEMA","1","F",2,12
1993,"45","8/15/1993",53,"WET","C","MID","PEMA","1","M",2,12
1993,"45","8/15/1993",53,"WET","C","OUT","PEMA","1","M",2,12
1993,"45","8/15/1993",53,"WET","CR","1","PELE","1","F",2,12
1993,"5&6","8/15/1993",53,"WET","AR","1","MYGA","1","M",2,12
1993,"5&6","8/15/1993",53,"WET","AR","2","PELE","1","M",2,12
1993,"5&6","8/15/1993",53,"WET","B","OUT","MYGA","1","M",2,12
1993,"5&6","8/15/1993",53,"WET","C","OUT","PELE","1","F",2,12
1993,"CC","8/15/1993",53,"WET","B","OUT","MYGA","1","F",2,12
1993,"CC","8/15/1993",53,"WET","BR","2","PELE","1","M",2,12
1993,"CC","8/15/1993",53,"WET","C","IN","PELE","1","M",2,12
1993,"CC","8/15/1993",53,"WET","C","MID","SOCI","1","M",2,12
1993,"42","8/16/1993",52,"DRY","A","OUT","BLBR","1","F",2,13
1993,"42","8/16/1993",52,"DRY","BR","2","BLBR","1","M",2,13
1993,"42","8/16/1993",52,"DRY","BR","2","PELE","1","F",2,13
1993,"45","8/16/1993",52,"DRY","A","MID","SOCI","1","M",2,13
1993,"45","8/16/1993",52,"DRY","C","MID","PEMA","1","F",2,13
1993,"45","8/16/1993",52,"DRY","C","OUT","PELE","1","F",2,13
1993,"5&6","8/16/1993",52,"DRY","C","MID","MYGA","1","M",2,13
1993,"CC","8/16/1993",52,"DRY","B","OUT","SOHO","1","M",2,13
1993,"CC","8/16/1993",52,"DRY","BR","2","PEMA","1","M",2,13
1993,"CC","8/16/1993",52,"DRY","C","IN","PEMA","1","M",2,13
1993,"42","8/17/1993",50,"DRY","BR","1","PELE","1","M",2,14
1993,"45","8/17/1993",50,"DRY","B","MID","PELE","1","F",2,14
1993,"45","8/17/1993",50,"DRY","B","OUT","PELE","1","F",2,14
1993,"5&6","8/17/1993",50,"DRY","B","MID","PELE","1","U",2,14
1993,"5&6","8/17/1993",50,"DRY","B","OUT","PELE","1","U",2,14
1993,"5&6","8/17/1993",50,"DRY","C","OUT","PELE","1","F",2,14
1993,"CC","8/17/1993",50,"DRY","AR","2","SOHO","1","M",2,14
1993,"CC","8/17/1993",50,"DRY","C","MID","PELE","1","F",2,14
1993,"42","8/18/1993",55,"WET","A","IN","PEMA","1","F",2,15
1993,"42","8/18/1993",55,"WET","A","MID","BLBR","1","M",2,15
1993,"42","8/18/1993",55,"WET","A","MID","BLBR","1","M",2,15
1993,"42","8/18/1993",55,"WET","A","OUT","PELE","1","F",2,15
1993,"42","8/18/1993",55,"WET","A","OUT","SOCI","1","M",2,15
1993,"42","8/18/1993",55,"WET","A","OUT","SOCI","1","M",2,15
1993,"42","8/18/1993",55,"WET","AR","1","SOCI","1","M",2,15
1993,"42","8/18/1993",55,"WET","B","IN","PELE","1","F",2,15
1993,"42","8/18/1993",55,"WET","BR","1","MYGA","1","F",2,15
1993,"42","8/18/1993",55,"WET","BR","2","BLBR","1","F",2,15
1993,"42","8/18/1993",55,"WET","BR","2","BLBR","1","M",2,15
1993,"42","8/18/1993",55,"WET","C","MID","MYGA","1","F",2,15
1993,"45","8/18/1993",55,"WET","A","IN","PEMA","1","F",2,15
1993,"45","8/18/1993",55,"WET","A","OUT","PELE","1","F",2,15
1993,"45","8/18/1993",55,"WET","A","OUT","SOCI","1","M",2,15
1993,"45","8/18/1993",55,"WET","AR","1","SOFU","1","M",2,15
1993,"45","8/18/1993",55,"WET","B","OUT","SOCI","1","M",2,15
1993,"45","8/18/1993",55,"WET","BR","1","MYGA","1","F",2,15
1993,"45","8/18/1993",55,"WET","BR","2","MYGA","1","M",2,15
1993,"45","8/18/1993",55,"WET","C","IN","BLBR","1","M",2,15
1993,"5&6","8/18/1993",55,"WET","A","IN","PELE","1","M",2,15
1993,"5&6","8/18/1993",55,"WET","AR","2","PEMA","1","M",2,15
1993,"5&6","8/18/1993",55,"WET","B","IN","MYGA","1","F",2,15
1993,"5&6","8/18/1993",55,"WET","B","IN","MYGA","1","M",2,15
1993,"5&6","8/18/1993",55,"WET","B","MID","BLBR","1","M",2,15
1993,"5&6","8/18/1993",55,"WET","B","OUT","MYGA","1","F",2,15
1993,"5&6","8/18/1993",55,"WET","BR","2","SOCI","1","M",2,15
1993,"5&6","8/18/1993",55,"WET","C","MID","PELE","1","M",2,15
1993,"5&6","8/18/1993",55,"WET","C","OUT","MYGA","1","M",2,15
1993,"5&6","8/18/1993",55,"WET","CR","2","MYGA","1","F",2,15
1993,"CC","8/18/1993",55,"WET","A","MID","MIPE","1","F",2,15
1993,"CC","8/18/1993",55,"WET","A","MID","PELE","1","M",2,15
1993,"CC","8/18/1993",55,"WET","BR","2","PELE","1","M",2,15
1993,"CC","8/18/1993",55,"WET","C","MID","SOCI","1","M",2,15
1993,"CC","8/18/1993",55,"WET","C","MID","SOCI","1","M",2,15
1993,"CC","8/18/1993",55,"WET","C","OUT","SOCI","1","M",2,15
1993,"42","8/19/1993",58,"WET","A","OUT","BLBR","1","F",2,16
1993,"45","8/19/1993",58,"WET","CR","2","PELE","1","F",2,16
1993,"5&6","8/19/1993",58,"WET","C","OUT","MYGA","1","F",2,16
1993,"5&6","8/20/1993",60,"WET","B","IN","PELE","1","F",2,17
1993,"5&6","8/20/1993",60,"WET","C","OUT","MYGA","1","F",2,17
1993,"42","8/22/1993",36,"DRY","A","IN","PELE","1","M",2,19
1993,"42","8/22/1993",36,"DRY","BR","2","PELE","1","F",2,19
1993,"45","8/23/1993",41,"DRY","B","MID","PEMA","1","F",2,20
1993,"45","8/23/1993",41,"DRY","C","IN","PELE","1","F",2,20
1993,"CC","8/23/1993",41,"DRY","B","OUT","PELE","1","M",2,20
1993,"42","9/8/1993",43,"DRY","A","IN","PELE","1","F",3,21
1993,"42","9/8/1993",43,"DRY","A","IN","PELE","1","M",3,21
1993,"42","9/8/1993",43,"DRY","A","OUT","PELE","1","F",3,21
1993,"42","9/8/1993",43,"DRY","BR","1","PELE","1","M",3,21
1993,"45","9/8/1993",43,"DRY","A","IN","PELE","1","M",3,21
1993,"45","9/8/1993",43,"DRY","C","MID","PELE","1","M",3,21
1993,"45","9/8/1993",43,"DRY","C","MID","PEMA","1","M",3,21
1993,"45","9/8/1993",43,"DRY","CR","2","PELE","1","F",3,21
1993,"5&6","9/8/1993",43,"DRY","A","MID","PEMA","1","F",3,21
1993,"5&6","9/8/1993",43,"DRY","AR","2","PELE","1","M",3,21
1993,"5&6","9/8/1993",43,"DRY","C","MID","MYGA","2","F",3,21
1993,"5&6","9/8/1993",43,"DRY","C","MID","MYGA","1","M",3,21
1993,"CC","9/8/1993",43,"DRY","AR","2","PELE","1","M",3,21
1993,"CC","9/8/1993",43,"DRY","C","OUT","MYGA","1","F",3,21
1993,"42","9/9/1993",46,"WET","A","IN","PELE","1","M",3,22
1993,"42","9/9/1993",46,"WET","A","MID","PEMA","1","M",3,22
1993,"42","9/9/1993",46,"WET","B","IN","BLBR","1","F",3,22
1993,"42","9/9/1993",46,"WET","B","MID","BLBR","1","M",3,22
1993,"42","9/9/1993",46,"WET","BR","1","PELE","1","F",3,22
1993,"42","9/9/1993",46,"WET","C","IN","BLBR","1","M",3,22
1993,"42","9/9/1993",46,"WET","CR","2","BLBR","1","M",3,22
1993,"45","9/9/1993",46,"WET","A","MID","BLBR","1","M",3,22
1993,"45","9/9/1993",46,"WET","A","MID","MYGA","1","M",3,22
1993,"45","9/9/1993",46,"WET","A","MID","PEMA","1","M",3,22
1993,"45","9/9/1993",46,"WET","AR","1","PELE","1","M",3,22
1993,"45","9/9/1993",46,"WET","B","MID","PEMA","1","M",3,22
1993,"45","9/9/1993",46,"WET","B","OUT","SOCI","1","M",3,22
1993,"45","9/9/1993",46,"WET","BR","2","MYGA","1","M",3,22
1993,"45","9/9/1993",46,"WET","CR","1","BLBR","1","F",3,22
1993,"45","9/9/1993",46,"WET","CR","1","PELE","1","F",3,22
1993,"45","9/9/1993",46,"WET","CR","2","BLBR","1","M",3,22
1993,"5&6","9/9/1993",46,"WET","A","IN","BLBR","1","F",3,22
1993,"5&6","9/9/1993",46,"WET","B","MID","MYGA","1","F",3,22
1993,"5&6","9/9/1993",46,"WET","B","OUT","BLBR","1","F",3,22
1993,"5&6","9/9/1993",46,"WET","B","OUT","BLBR","1","F",3,22
1993,"5&6","9/9/1993",46,"WET","B","OUT","PELE","1","M",3,22
1993,"5&6","9/9/1993",46,"WET","BR","1","PELE","1","F",3,22
1993,"5&6","9/9/1993",46,"WET","C","IN","BLBR","1","M",3,22
1993,"5&6","9/9/1993",46,"WET","C","IN","SOCI","1","M",3,22
1993,"5&6","9/9/1993",46,"WET","C","OUT","MYGA","1","M",3,22
1993,"5&6","9/9/1993",46,"WET","C","OUT","SOCI","1","M",3,22
1993,"5&6","9/9/1993",46,"WET","Z","CTR","PEMA","1","M",3,22
1993,"CC","9/9/1993",46,"WET","A","OUT","PELE","1","M",3,22
1993,"CC","9/9/1993",46,"WET","B","OUT","BLBR","1","F",3,22
1993,"CC","9/9/1993",46,"WET","BR","1","PELE","1","F",3,22
1993,"CC","9/9/1993",46,"WET","BR","2","MYGA","1","F",3,22
1993,"CC","9/9/1993",46,"WET","C","OUT","MYGA","1","F",3,22
1993,"CC","9/9/1993",46,"WET","CR","2","SOCI","1","M",3,22
1993,"42","9/10/1993",60,"WET","AR","1","PEMA","1","F",3,23
1993,"42","9/10/1993",60,"WET","AR","2","PEMA","1","M",3,23
1993,"42","9/10/1993",60,"WET","B","OUT","PELE","1","F",3,23
1993,"45","9/10/1993",60,"WET","B","OUT","PEMA","1","F",3,23
1993,"5&6","9/10/1993",60,"WET","A","IN","BLBR","1","F",3,23
1993,"5&6","9/10/1993",60,"WET","A","IN","SOCI","1","M",3,23
1993,"5&6","9/10/1993",60,"WET","B","OUT","BLBR","1","M",3,23
1993,"5&6","9/10/1993",60,"WET","CR","1","PELE","1","F",3,23
1993,"45","9/11/1993",44,"WET","B","MID","BLBR","1","F",3,24
1993,"45","9/11/1993",44,"WET","C","OUT","PELE","1","F",3,24
1993,"45","9/11/1993",44,"WET","CR","1","SOFU","1","M",3,24
1993,"5&6","9/11/1993",44,"WET","B","MID","PELE","1","F",3,24
1993,"5&6","9/11/1993",44,"WET","BR","2","BLBR","1","F",3,24
1993,"5&6","9/11/1993",44,"WET","C","MID","MYGA","1","M",3,24
1993,"CC","9/11/1993",44,"WET","A","MID","SOCI","1","M",3,24
1993,"CC","9/11/1993",44,"WET","C","MID","SOCI","1","M",3,24
1993,"42","9/12/1993",30,"DRY","BR","2","BLBR","1","F",3,25
1993,"42","9/12/1993",30,"DRY","CR","1","BLBR","1","M",3,25
1993,"5&6","9/12/1993",30,"DRY","C","MID","PEMA","1","F",3,25
1993,"42","9/13/1993",36,"DRY","A","OUT","PELE","1","M",3,26
1993,"45","9/13/1993",36,"DRY","B","IN","PEMA","1","M",3,26
1993,"5&6","9/13/1993",36,"DRY","C","MID","MYGA","1","F",3,26
1993,"5&6","9/13/1993",36,"DRY","C","OUT","MYGA","1","F",3,26
1993,"42","9/14/1993",43,"DRY","C","MID","MYGA","1","U",3,27
1993,"42","9/14/1993",43,"DRY","C","OUT","MYGA","1","U",3,27
1993,"5&6","9/14/1993",43,"DRY","B","MID","PELE","1","F",3,27
1993,"5&6","9/14/1993",43,"DRY","C","OUT","MYGA","1","M",3,27
1993,"CC","9/14/1993",43,"DRY","BR","2","PELE","1","F",3,27
1993,"CC","9/14/1993",43,"DRY","C","MID","PEMA","1","M",3,27
1993,"CC","9/14/1993",43,"DRY","C","MID","MYGA","1","U",3,27
1993,"CC","9/14/1993",43,"DRY","C","OUT","MYGA","1","U",3,27
1993,"CC","9/14/1993",43,"DRY","CR","1","PELE","1","F",3,27
1993,"45","9/15/1993",60,"DRY","A","MID","BLBR","1","F",3,28
1993,"45","9/15/1993",60,"DRY","CR","2","PELE","1","M",3,28
1993,"5&6","9/15/1993",60,"DRY","A","MID","BLBR","1","M",3,28
