YEAR,TP,cumul_precip
1994,1,19.07
1994,2,33.59
1994,3,50.12
1995,1,26.86
1995,2,34.67
1995,3,36.97
1996,1,41.31
1996,2,52.5
1996,3,54.89
1997,1,24.61
1997,2,42.17
1997,3,48.86
1998,1,58.68
1998,2,64.76
1998,3,71.06
1999,1,22.79
1999,2,32.14
1999,3,39.86
2000,1,43.6
2000,2,52.35
2000,3,58.84
2001,1,21.04
2001,2,28.21
2001,3,31.84
2002,1,30.13
2002,2,30.13
2002,3,33.14
2003,1,28.27
2003,2,48.92
2003,3,58.06
2004,1,35.64
2004,2,43.82
2004,3,55.57
2005,1,38.61
2005,2,52.08
2005,3,57.94
2006,1,71.77
2006,2,84.84
2006,3,91.59
2007,1,20.01
2007,2,29.32
2007,3,37.47
2008,1,20.65
2008,2,42.01
2008,3,59.94
2009,1,56.46
2009,2,74.87
2009,3,87.65
2010,1,20.5
2010,2,29.32
2010,3,35.65
2011,1,21.68
2011,2,24.88
2011,3,40.5
2012,1,65.39
2012,2,82.47
2012,3,96.15
2013,1,41.66
2013,2,54.39
2013,3,63.47
2014,1,45.35
2014,2,58.87
2014,3,61.05
2015,1,23.32
2015,2,29.29
2015,3,38.61
2016,1,23.57
2016,2,36.28
2016,3,45.91
2017,1,37.73
2017,2,43.17
2017,3,55.67
2018,1,13.59
2018,2,24.95
2018,3,31.45
2019,1,35.28
2019,2,46.85
2019,3,62.51
2020,1,26.48
2020,2,33.42
2020,3,38.11
2021,1,13.58
2021,2,29.77
2021,3,37.91
2022,1,23.86
2022,2,27.34
2022,3,39.12
